1|波斯王子：时之刃|/uploads/poster/波斯王子：时之刃/thumb_1_147_206_20121227084106623.jpg|7.9|迈克·内威尔|杰玛·阿特登, 阿尔弗雷德·莫里纳, 斯蒂夫·托斯圣特|动作/爱情/剧情/冒险/奇幻|2010年05月28日|    远古的波斯是一个神秘的国度，那里有着许多未知的秘密等待人去揭开，谁掌握了打开秘密的锁匙，谁就能得到神奇而巨大的力量。在帝国某个偏僻而无人问津的地方，有着一把来自于上古时代的利刃匕首。这把匕首有着不可思议的力量，它能够释放出“时之砂”，“时之砂”可以让时间倒流，穿梭于过去的世界里，利用这种可怕的骇人力量，它能够让拥有它的人主宰整个世界的过去和未来，它可以拯救世界，亦可以毁灭世界……    一场惨烈的战争结束了，随军出征的波斯王子达斯坦（杰克·吉伦哈尔饰）在清点战利品的时候，发现了这把能够释放“时之砂”的匕首，他并不知道这把匕首拥有那么可怕的力量，达斯坦带着匕首和其他战利品回到了波斯，国王弟弟尼扎姆（本·金斯利饰）知道了匕首所拥有“时之砂”力量，他为了一己私欲，设计杀死了国王，并且嫁祸给了达斯坦，同时准备释放了“时之砂”……亡命天涯的达斯坦背负了拯救波斯王国的使命，携手来历不明的神秘女郎塔米娜公主（杰玛·阿特登饰），踏上了斩妖除魔的惊险旅途………|2014-03-13 10:29:40.881842|2014-03-13 10:29:40.881842|Prince of Persia: The Sands of Time
2|驯龙高手|/uploads/poster/驯龙高手/thumb_1_147_206_20131008022459325.jpg|8.9|迪安·戴布劳斯克里斯·桑德斯|杰伊·巴鲁切尔, 杰拉德·巴特勒, 克雷格·费格森|喜剧/冒险/奇幻/动画/家庭|2010年05月14日|    小嗝嗝（Hiccup）是博克岛（Berk Island）上的维京首领史图伊克（Stoick）之子。他住的岛上常常遭到龙群的侵袭，牠们会在抓走了居民们畜养的羊以后飞去，消失得无影无踪。而小嗝嗝则是岛上一位铁匠戈伯（Gobber）的徒弟，常常在需要时帮他的忙。不过，他最大的梦想仍然是当一位屠龙高手，也就是当地维京人的传统，整天都想着要去对付龙群。    某天晚上，当龙群正在岛上侵袭时，小嗝嗝使用了自己製作的捕捉网射击器意外的击中了一隻众人前所未见的龙——「夜煞」（Night Fury），但是当时岛上并没有其他人看到这件事。而为了要证明这件事，小嗝嗝自己跑进了当初龙可能掉落的森林中，打算寻找那隻被他击中的龙。他来到了一个小峡谷，并看到了那隻夜煞躺在那裡受困于他的网中。在心中百般的挣扎下，小嗝嗝还是不忍心杀了那隻无助的龙，反而将牠鬆绑，使其获得自由。    后来，史图伊克在戈伯的建议下将小嗝嗝也送进了由戈柏亲自指导的屠龙训练课程，和其他的年轻维京人一起进行训练。同时，史图伊克自己则带领了一个维京船队，打算出发寻找龙群的巢穴，以消灭牠们，革除后患。小嗝嗝则在听说了「龙是很险恶的，一旦碰到敌人后都会将他给杀了」一事之后又回到了当初找到夜煞的峡谷，并发现那隻龙仍然被困在那个峡谷中，原来是因为牠在被击中摔落后失去了一半边的尾翼，导致牠无法正常飞行。    于是，小嗝嗝就打算要和这隻龙交流，观察并驯服牠，同时也给牠取了个名字——没牙（Toothless）。小嗝嗝甚至还製做了一个辅助用的尾翼，装在没牙的尾巴上之后就可以在小嗝嗝的驾驭下顺利的飞行了。从那之后开始，小嗝嗝在他的屠龙训练课程上就有了大幅度的进步。透过和没牙的互动和观察，小嗝嗝就学会了如何控制各种类型的龙，而这使得训练班中和小嗝嗝年龄相彷的女强人亚丝翠（Astrid）感到非常的怀疑和嫉妒。    史图伊克和他的船队到最后只剩下残破的一艘回到了岛上，并没有找到龙的巢穴。虽然史图伊克的心情感到很低落，但戈柏和其他留在岛上的人则告诉了他小嗝嗝在屠龙训练课程中优异的表现，使得他终于找到一个好机会能和儿子聊一聊。后来史图伊克则送给了小嗝嗝一个头盔作为奖励——那是用小嗝嗝已逝的母亲胸甲的半边製作的。    后来，岛上的长老选择了他做为训练班中表现最优异的学生，并给了他一次能够在所有居民前杀死一隻龙的机会。这使得小嗝嗝决定要骑着没牙离开博克岛，但没想到在路上，小嗝嗝遇到了亚丝翠，她和小嗝嗝就一起去了没牙藏身的峡谷中。亚丝翠在受到惊吓后，原本打算跑回村庄中告诉大家这事，但没牙却抓住了她，小嗝嗝则请求亚丝翠给他一次向她解释的机会。于是他们两人就乘着没牙一起兜风去了。兜风的路上，他们意外的碰到了一大群龙，正带着捉回来的猎物成群的往牠们的巢穴飞。到了巢穴之后，小嗝嗝他们才发现龙群们捉来的猎物不是自己吃掉，而是全部喂给巢穴中一隻更巨大的龙作为食物，而如果龙群们没有带食物回来，牠们就会被那隻大龙吃掉。在小嗝嗝他们回到了岛上之后，亚丝翠就想要告诉岛上的人们龙的巢穴的位置，但小嗝嗝为了要保护没牙的安全，就希望大家不要知道这件事，而亚丝翠也答应了小嗝嗝自己会保密。    隔天，在小嗝嗝和他所要战斗的龙——「勐烈凶魇」（Monstrous Nightmare）的战场上，小嗝嗝放下了武器，并且尝试着告诉大家龙群们其实并不像他们想像的那么邪恶，只需要不伤害牠们，牠们也就不会攻击。但是史图伊克却喊着要终止这场战斗，导致和小嗝嗝战斗的那隻龙基于反射动作下回击了小嗝嗝。此时，躲在森林中的没牙听到了小嗝嗝的呼喊，立刻就飞往博克去解救小嗝嗝。而正好在勐烈凶魇差一点要杀死小嗝嗝的那一瞬间，没牙赶到并且解救了小嗝嗝。    小嗝嗝原本命令没牙飞走，但是牠却不听话，因为牠认为在场其他的维京人也会伤害小嗝嗝。没牙差一点就杀了史图伊克，但小嗝嗝及时要求没牙住手，使得没牙软弱了下来，同时也很快的被在场的居民们给制伏了。后来，史图伊克对于小嗝嗝和龙之间的交情感到非常的生气且严重的指责了他一番，小嗝嗝则不小心说出了他曾和没牙一起到过龙的巢穴一事，使得史图伊克打算靠没牙来带着他们一起到龙的巢穴去。小嗝嗝请求史图伊克不要伤害没牙，也警告了他有关巨龙的事情，但史图伊克都不理会他。    于是，维京人们就将没牙绑在船上，一起出发了。在岛上，亚丝翠安慰了小嗝嗝，并问他接下来他应该怎么做。小嗝嗝就决定带着大家骑着屠龙训练中使用的龙群一起飞到巢穴那裡。    当所有的维京人们都到了巢穴的岛上后，他们就准备要开战了。没想到，才射出第一发火球，所有的龙群就飞离了这个岛。巨龙到后来终于现身了，一开口喷了火就把所有维京人们的船都烧掉了，包括绑着没牙的那艘船。这时，小嗝嗝一行人抵达了，其他人全都飞去引开巨龙的注意力，小嗝嗝则趁机跑到了那艘船上解救没牙。没想到，就在替没牙鬆绑的时候，船沉入了水中，小嗝嗝奋力想要鬆开仍然被绑住的没牙，但差点溺死。这时，史图伊克及时赶到，救了他的儿子，自己则潜到水中成功的解救了没牙。之后，经过了一场奋战，小嗝嗝和没牙终于成功的消灭了巨龙。不过，在那之间小嗝嗝意外的从没牙的身上掉了下去，在半空中以极快的速度往下掉入了当初巨龙以头先着地时激起的巨大爆炸波中，而没牙也努力的往下飞想要抓住小嗝嗝。后来史图伊克就走进了废墟中寻找他的儿子，没想到只看到虚弱的没牙躺在石子上。那时，大家都认为小嗝嗝在爆炸波中死亡了，但后来才发现原来没牙抓住了他，包在了自己的翅膀中。    几天之后，小嗝嗝在他的房间中醒过来了，并看到没牙也在他房间中守着他。他下了床之后，才发觉那天从空中掉到爆炸波中使得他丧失了他的左小腿，而换上了一个戈柏用铁製作的义肢。小嗝嗝缓慢的走出了家门，并看到博克岛已经整个改头换面了：原本海上观察龙的火炬台变成了巨大的饲料碗，而居民们也很欢迎龙群们到岛上来居住。大家都很高兴小嗝嗝醒过来了，而他也被大家称为英雄，亚丝翠也亲吻了小嗝嗝。最后，小嗝嗝和亚丝翠就骑上了他们的龙，一起去环绕了全新的博克岛。自此，维京人和龙群之间的战争就此停止了，故事结束。|2014-03-13 10:29:41.168175|2014-03-13 10:29:41.168175|How to Train Your Dragon
3|钢铁侠2|/uploads/poster/钢铁侠2/thumb_1_147_206_20120822102215808.jpg|8.8|乔恩·费儒|小罗伯特·唐尼, 格温妮丝·帕特洛, 斯嘉丽·约翰逊|动作/科幻/剧情/冒险/惊悚|2010年05月07日|　　六个月前，年轻帅气的军火商托尼·斯塔克经历了人生最大的一次危机－－不仅身体被改造，还被一直亲密无间的合作伙伴狠狠的摆了一道，幸亏凭借自己研制的全新战服才得以化解危机，斯塔克在公众前的代号，除了花花公子、亿万富翁之外又多了一个，那就是：钢铁侠！和其他超级英雄不一样，斯塔克不屑于隐藏自己的身份，爱出风头的他借着钢铁侠的身份在各地亮相，由此也引得了军方对他的注意，国会要求他交出钢铁侠的战服，而政府对其施加的压力也愈来愈大……同时，军火商贾斯丁·汉默也有意研制出相同技术，与斯塔克分庭抗礼。在这种压力下，幸好小辣椒秘书波兹（格温妮丝·帕特洛饰）一直陪在身边，令斯塔克在酗酒烂醉逃避现实的时候，得以慰藉。　　高调的斯塔克，早已成为了各路恶人的眼中钉，其中特别有两人想要击倒钢铁侠，一位是来自俄罗斯的重犯伊凡（米基·洛克饰），他利用同样源自自身研制的光鞭在赛车场重创了史塔克；另一位则是美艳非凡的黑寡妇娜塔莎（斯嘉丽·约翰逊饰），她接近斯塔克也有着自己的目的……|2014-03-13 10:29:41.349907|2014-03-13 10:29:41.349907|Iron Man 2
4|超蛙战士之初露锋芒|/uploads/poster/超蛙战士之初露锋芒/thumb_1_147_206_20120316105836431.jpg|8.3|徐克|翟巍, 张欣, 吴磊|科幻/剧情/冒险/动画|2010年06月01日|故事讲述工业革命后几十个世纪，地球已经不再适合人类生存。人们为了适应恶劣的环境而不得不对自身进行物种基因改造。与此同时，为了扩展生存空间，一些勇敢的人类携带着人类科技的结晶，出发前往宇宙各处去寻找可以居住的星球。有一些人找到了新的生存地并繁衍生息，而另一些人却永远消失在宇宙深处。当年从地球出发的探险队中有一支队伍幸运地找到了适合生存的星球，这是一颗被水和植物覆盖的湿地星球，人们将这颗行星命名为沼泽星，随着时间的流逝，他们拥有了新的身体，新的面孔，甚至逐渐淡忘了自己是谁，进而衍变成为新的种族：蛙族人。历史总是异彩纷呈的，当初人类基因改造‘成就’了蛙族人，也‘成就’了另一批人类后裔－梯族人。残暴的梯族人为了争夺资源、居住地以及当初人类探险队遗留的科技晶体碎片，对蛙族人的领地－－－MALO星系发动了入侵战争。突如其来的侵略打破了蛙族人和平美好的生活，蛙族人康和钢兽本来是军事学院的预备役学员，他们最大的志向就是驾驶AIU重装机甲，成为蛙人国里最显赫的AIU战士。随着战事益发吃紧，蛙族军队损失惨重，康和钢兽这些预备役学员也不得不被派往太空，成为名副其实的AIU战士。为了提高蛙族的军事科技水平，蛙族将军莫迪冒险潜入梯族人的势力领地，向星际海盗头子魂魄虎购买了一份重要的信息芯片。就在即将完成交易之时，梯族人发现了他的踪迹，并一路追击至蛙族最后的领地－－－通往沼泽星的星际传送门外。AIU战队队长明天豪奉命带领他的部队迎接莫迪将军安全返航，抱着必死的决心，明队长带领全体AIU战士冲出传送门，与早已埋伏好的梯族人展开了激烈的战斗，康和钢兽以及其他战友一直冲在最前方与敌人殊死搏斗。就在蛙族部队逐渐取得战场优势的时候，梯族将军巫帝对勇猛的AIU战士们发起了致命一击，明天豪为解救战友，不惜引爆了随身携带的电磁脉冲弹，生死未卜。另一位AIU战士大炮所驾驶的AIU也被巫帝击毁，为了给队长和大炮报仇，钢兽毅然向比他强大得多的敌人发起了勇猛的进攻……|2014-03-13 10:29:45.903080|2014-03-13 10:29:45.903080|AniMen: Triton Force
5|异度公寓|/uploads/poster/异度公寓/thumb_1_147_206_20100518092415143.jpg|6.8|蒋国权|萧蔷, 张兆辉, 马天宇|恐怖/剧情/悬疑/惊悚|2010年06月04日|梅子（萧 蔷饰）是著名的悬疑小说作家，在国内外拥有众多的粉丝。梅子的老公王天成（张兆辉饰）是某影视集团的老总，是员工眼中的好老板、好丈夫、好男人，在外人看来这应该是一个美满幸福的家庭。可是半年前儿子因病夭折，整个家庭陷入阴霾，梅子行为越来越异常，在梅子的眼中家里的每一个角落都有儿子的影子，仿佛有一双眼睛在盯着自己。在重重精神折磨之下，无奈的梅子只好向朋友孟一凡（马天宇饰）求助。孟一凡喜欢看惊悚片和悬疑小说，古今中外最有影响的推理作家的作品统统读遍，对梅子的作品更是了如指掌，是梅子的忠实读者。孟一凡平时喜欢和梅子在网上交流，讨论各国的悬疑小说。对于梅子的不安，孟一凡推断梅子在进入创作状态后精神高度集中，神经异常敏锐，完全沉浸在作品中，所以才会有幻觉出现。与此同时，梅子的老公王天成发现自从儿子死后梅子精神出现异常，于是向心理医生严晓蕊咨询，严晓蕊断定梅子目前的精神状况很危险，需要住院治疗，并且为梅子制订了详细的治疗计划。晓蕊的双胞胎妹妹晓艺是个小演员为了上位出名，使尽各种手段，男友周龙虽然很爱晓艺对她言听计从，却被晓艺嫌弃没本事。严晓蕊在香港的诊所发生火灾，严晓蕊返回香港处理。严晓艺在得知王天成是影视集团的老总之后开始以严晓蕊的身份接近王天成。某一天，严晓艺收到王天成的邀请前去王天成家中赴约，谁知却从此神秘失踪。周龙怀疑是王天成所为，前去质问王天成，并且对王天成大打出手。孟一凡和周龙悄悄来到王天成别墅查找线索，此时，王天成突然回家打断了二人的调查，二人匆忙离开，周龙顺手牵羊把梅子的笔记本电脑拿回，发现电脑里竟然有晓艺的照片。周龙断定严晓艺德失踪和王天成有关，于是周龙再次返回王天成家调查，却发生车祸住进医院。严晓艺、周龙接连出事让孟一凡心中疑问丛生，孟一凡决定找出事情的真相。|2014-03-13 10:29:47.132651|2014-03-13 10:29:47.132651|Illusion Apartment
6|人在囧途|/uploads/poster/人在囧途/thumb_1_147_206_20100608115339636.jpg|8.8|叶伟民|徐峥, 王宝强, 李曼|喜剧/剧情|2010年06月04日|    春节将近，玩具集团老板李成功（徐峥饰）回长沙过年，同时在情人曼妮（李曼饰）的逼迫下，准备过年后跟老婆（左小青）离婚。结果，在机场遇到前往长沙讨债的“资深”挤奶工牛耿（王宝强饰）后，霉运不断。命运的捉弄，牛耿一路都与李成功不期而遇。两人路途中囧事不断，也遭遇了各式各样的人和千奇百怪好笑的事情，弄得李成功狼狈不堪，高贵形象荡然无存。牛耿（王宝强饰）却不以为然乐观积极。为了能够回家，二人结伴而行，他们换了各种交通方式奔波在回家的路上，飞机，火车，大巴，轮渡，搭货车，甚至拖拉机……    但是两人还是在荒郊野外度过了大年三十，回首这一路的艰辛，与他们路途中遇到人或事，对两人人生有了很大触动……    最终，在经历了两人从敌对到成为朋友，牛耿的真诚也改变了李成功冷漠的性格，唤起李成功对真情的回归。当疲惫的李成功回到家，却不料曼妮比他还早到一步，甚至见到了李成功的妻子，李成功懵了，满怀忐忑的李成功回到家看到停留在墙上未撕去的日历，看到其乐融融的妻女与老人，李成功也明白了他该做出什么样的选择。鞭炮响起，李成功与妻子深情相拥，我们知道这一年，李成功回家了，不光是身体，还有心灵……|2014-03-13 10:29:48.019364|2014-03-13 10:29:48.019364|Lost On Journey
7|特工的特别任务|/uploads/poster/特工的特别任务/thumb_1_147_206_20100524064925251.jpg|0|乔治·盖洛|塞尔玛·布莱尔, 特雷弗·摩根, John Valdetero|动作/喜剧/爱情/剧情/惊悚|2010年06月04日|    FBI探员亨瑞与肥胖的母亲玛蒂相依为命。由于工作需要，亨瑞被派往华盛顿。临行前母亲玛蒂依依不舍，看着长大的儿子就要离自己而去，正所谓儿行千里母担忧。但玛蒂把自己的担忧全部发泄到食物上，在亨瑞刚刚登上飞机的时候，她就坐在机场的候机厅里饕餮起来。一位路过的旅人看着玛蒂的邋遢样，就往她的杯子里施舍了一枚硬币。看着杯子里的硬币，玛蒂也在思索自己的人生。　　三年后，当亨瑞回家发现肥胖的母亲恢复了苗条的身材，吃惊不已。同样吃惊的还有玛蒂，因为亨瑞告诉她，他已经与自己的一名同事艾米丽订婚了。本来美好的一家三口周末出去游玩，不想半路突然杀出了一位西班牙籍的中年帅哥汤米。越老越痴狂的玛蒂顿时找不着北了，就连没过门的儿媳妇也觉得不错，只有亨瑞怀揣着一颗警惕的心，生怕老妈被坏人拐带走了。果不其然，汤米是欧洲一个盗窃团伙的头脑。他们专门盗窃昂贵的艺术品，并倒卖到黑市。就在上个月，汤米才在法国被捕。这次他们来到美国，也是为了一尊雕塑。于是，亨瑞被指派监视汤米，而老妈也成为了任务的牺牲品，任由得两人打情骂俏。　　就在汤米侦察好了博物馆的地形后，他们终于要在一个月黑风高的夜晚下手了。他们先是摆弄着一架遥控飞机不停地惊醒报警铃，以图来骚扰警察，使他们认为是设备故障，从而麻痹他们。接着，又拦截了视频监控图象，营造了一切正常的假现象。在迷倒了现场的保安后，他们成功偷窃了大师的雕塑。正当他们打算逃离现场的时候，报警系统被从新启动，汤米被困在了里面。他这才发现，原来同甘苦共患难的兄弟，跟本就没打算救他脱生。汤米作为团伙头脑，自然不能忍受自己手下人的叛变，毅然追了上去。一场枪战虽然没能拦截叛徒，但却留下了雕塑。赶来的亨瑞正在暗喜解除了汤米这眼中钉时，逃蹿的犯人来电话威胁玛蒂的生命安危。众人又赶往玛蒂家解救。最终，有情人终成眷属。|2014-03-13 10:29:49.270623|2014-03-13 10:29:49.270623|My Mom's New Boyfriend
8|叶问2：宗师传奇|/uploads/poster/叶问2：宗师传奇/thumb_1_147_206_20120423032407646.jpg|9|叶伟信|甄子丹, 洪金宝, 黄晓明|动作/剧情/传记/历史|2010年04月27日|    抗日战争期间，叶问(甄子丹)以双拳捍卫了中国人的尊严，不惜得罪日本鬼子逃离佛山。战争结束后，叶家三口于佛山生活艰难，叶问于是在1949 年带同妻儿前往香港建立新的家园，展开了人生新的一页。叶问一家初来香港生活艰苦，幸得好友介绍下，得到在报馆当主编的梁根(敖嘉年)借出天台予其教授咏春。可惜咏春拳对香港人来说却是闻所未闻，开班多天仍无人问津。第十天，日暮渐临，一名年少气盛的青年黄梁(黄晓明)闯上天台，以西洋拳向叶问挑战，但于数招内被打败！黄梁心感叶问的厉害，带同数名西洋拳师兄弟一同向叶问拜师，叶问就此在香港收得第一批徒弟。某天，黄梁在街上遇见自称洪拳弟子的流氓郑伟基(杜宇航)把咏春传单撕毁，意气之下向其提出挑战！郑伟基被黄梁打败后不忿报复，竟率领手下持刀追斩，把黄梁掳入鱼栏。叶问单人匹马直闯鱼栏救人，眼见郑伟基手下众人来势汹汹，处处进击，叶问保护着黄梁，刀光剑影下逃至码头空地，却惊见昔日仇人金山找(樊少皇)带同一众咕喱出现，且反过来帮叶问！此时鱼栏的话事人洪师傅(洪金宝)与好友肥波　(郑则士)亦在多人簇拥下来到，严声追究打伤其徒弟郑伟基的凶徒！洪师傅严斥叶问违反香港武术界规矩，须接受于一炷香时间内通过各门派挑战才能授徒！叶问尚在犹豫，一直在旁冷眼观战的肥波却忽然拘捕叶问、黄梁与金山找！肥波的身份竟是华人探长！    警署内，肥波把从鱼栏收回的金钱交给洋警司。原来洪师傅与肥波同为洋警司办事，藉「以华制华」方式管治华人，肥波为他的随从，洪师傅则替他在鱼栏、武馆等地方收取保护费。    监仓内，已改邪归正的金山找劝告叶问，若要在香港授徒，切勿与洋人交恶，且若要在武术界立足，亦只有遵从武术界的规则。叶问被保释后心知一炷香挑战不能不打，妻子(熊黛林)虽然暗自担心，但亦未有阻挠。    叶问于酒楼接受一炷香挑战。为免伤和气，叶问只巧妙地把众师傅迫倒地上。只是最后一关由洪师傅亲自把持，二人打得难分难解，直至香烧完仍未分高下！洪师傅欣赏叶问功夫，终允许叶问交会费后开馆收徒。但叶问认为强收会费等同勒索，竟断言拒绝。洪师傅怒道若叶问不交会费而胆敢收徒，即破坏武术界规矩，后果自负。    翌日，洋警司带着绰号龙卷风的拳手好友泰勒·米诺斯(Tyler Milos)，参观洪师傅等正在筹备的西洋拳赛场地。洋人警司是「西洋拳拳王争霸战」的主办人，洪师傅则负责筹办拳赛兼保安等事宜。台上龙卷风即席练拳，拳风狠劲、招招致人于死地；台下洪师傅欲为兄弟手下为筹办拳赛争取报酬，却遭到洋警司冷待。肥波在旁好言劝慰，但备受委屈的洪师傅仍心感不忿。    洪师傅在鱼栏与家人共进早餐时，忽见一炷香之比武被图文并茂地连载于单张报上！洪拳被写成与咏春不分上下，报章一出瞬即大卖，全城热话沸腾。洪师傅于是向郑伟基下令捣乱叶问的天台武馆！梁根因街坊压力请叶问搬离天台，众人黯然之际，叶问却着黄梁等人把木人桩搬回家，决定在小区内继续教授咏春！    小区的小公园内，一众街坊欣赏着叶问与黄梁等徒弟大耍咏春。洪师傅对叶问的坚持感敬重，佯称路过送来「西洋拳王争霸战」的入场门券，暗示与叶问冰释前嫌。    叶问带同周光耀(郑家星)与黄梁观看西洋拳赛，洪师傅与肥波及洋人警司坐于贵宾席观赏。擂台上龙卷风状态大勇，力挫对手，终于摘下西洋拳王的宝座！比赛完毕，郑伟基与众师弟在台上表演套路助庆。龙卷风有感中国武术儿戏之极，不屑之余竟上台戏弄郑伟基等人，引起全场各派中国武师不满，纷纷涌上擂台助拳！    洪师傅屡欲冲上擂台，却被肥波与洋警司阻止，但见众人挺身而不敌，与叶问上台劝阻，中招后的龙卷风愤怒挥拳狠狠还击，黄梁中拳被打至飞倒台下昏迷！叶问冲上前察看徒弟伤势，洪师傅怒极要龙卷风当众道歉！龙卷风拒绝向失败者道歉，除非洪师傅能打败他，并夸下狂言三拳打死洪师傅！洪师傅毅然应战，虽然年老力衰，但仍奋战到底。拳王久战不下越打越怒，洪师傅亦渐渐气力不继，众人为其着急。叶问见洪师傅伤势甚重快将支持不住，欲替他抛下白毛巾投降，但被洪师傅挡开阻止。洪师傅为着武术尊严宁死不降，终被龙卷风狠狠一记勾拳打倒地上！    洪师傅最终伤重死亡。周光耀对洋人的暴力恶行十分不满，于报章大力笔伐报道，大骂警察包庇洋人、种族歧视等。报导惹起社会群众的愤怒，反洋人的抗议示威不断，洋人警司为平息纷争，召开记者招待会宣布举办「华洋拳赛」，令拳王龙卷风在台上公开地打倒中国武术，好堵住群众对洋人不公平的指责。记者会上，叶问在满场记者包围下现身挑战龙卷风，誓要在擂台上讨回民族尊严！    擂台上，叶问战拳王的比赛正式举行，台下洋人观众占大多数，向叶问喝倒采之声不绝。叶问与拳王展开了一场关乎荣辱之战，昂藏七尺的拳王浑身肌肉，在体质上占尽优势，叶问久战下倒了又起，展示出不屈的精神。台下一众洋人亦被叶问顽强的斗志所感动，竟由喝倒采渐渐变为支持，连外国观众亦被他的精神感动，只有洋人警司看得深深不愤。前两回合，叶问占上风，为了赢得比赛，洋人裁判竟不择手段地修改比赛规则，禁止叶问使用脚踢。叶问最终使出洪师傅的绝招狠狠把拳王击倒，赢尽全场掌声。叶问战胜后表示，此战并不为了比较西洋拳术和中国功夫哪个更厉害，他认为人的身份地位可以不同，但人的人格并没有贵贱之分，希望大家能互相尊重！　最终赢得所有人的掌声。    经此一役，咏春的名声于香港传得更响，前来向叶问拜师的人不胜其数，从低层苦力到名门子弟，甚至来自不同国家的人均慕名而来。凡入门拜师之徒弟，叶问均倾囊相授，令咏春在香港及东南亚等地急速发展。一九五六年，周光耀带着一名小孩来到叶问的武馆向叶问拜师，来人正是把中国武术扬威海外、蜚声国际的武打巨星──李小龙。|2014-03-13 10:29:52.699672|2014-03-13 10:29:52.699672|Ip Man 2
9|黑猫警长|/uploads/poster/黑猫警长/thumb_1_147_206_20100324060643336.jpg|4.1|戴铁郎|吴磊, 林妙可, 鞠萍|剧情/动画|2010年04月23日|    大森林里，小动物们友好相处，互帮互助，过着幸福安宁的生活，而为这片和平充当保护者，就是大名鼎鼎的黑猫警长。每天，警长都和森林警察局的勇士们一起巡逻，监听一切可疑的声音。是的，即使是在如此美丽的大森林里，依然有心怀叵测的坏蛋和蠢蠢欲动的不良分子时刻觊觎着大森林居民的劳动果实。比如偷吃红土的懒惰三人组，席卷庄稼地的蝗虫大军，其中最最冥顽狡猾的便是搬仓鼠一只耳为首的犯罪团伙。他曾从黑猫警长的手中逃脱，却丝毫不吸取教训，从各地乃至海外找来同伙复仇。无论有多大的危险，黑猫警长也决不退缩，带领战友们一次次冲向战斗的最前线。 |2014-03-13 10:29:53.766162|2014-03-13 10:29:53.766162|Det. Black Cat
10|精舞门2|/uploads/poster/精舞门2/thumb_1_147_206_20100531055324817.jpg|8.2|刘宝贤|陈柏霖, 谢天华, 周奇奇|爱情/剧情/歌舞|2010年06月10日|    由乐天（陈柏霖 饰）领衔的街舞团体“encore”内高手如云，其中编舞王子（邱胜翊 饰）和二号人物peter等人都是街舞界的高手，他们团结一致令无数挑战者铩羽而归。冉秋（谢天华 饰）和绵绵（周奇奇 饰）是一对跳拉丁舞的情侣，为了备战拉丁舞大赛，冉秋希望借鉴街舞那富有感染力的形式为自己的编舞加分，于是令绵绵向乐天学习。从小经历严苛舞蹈训练的绵绵对街舞的“不入流”嗤之以鼻，乐天用自己的言传身教渐渐扭转着绵绵的成见，却不料encore内部出现了分裂：王子为筹措母亲的治疗费离开了团体。乐天为帮助王子决定参加比赛赢取奖金，而他和绵绵的感情，也在慢慢的成长着…… |2014-03-13 10:29:56.922616|2014-03-13 10:29:56.922616|Kung Fu Hip-Hop 2
